seedling_id,date_meas_stuart,num_myco_stuart,num_nonmyco_stuart,morpho_descrip_stuart,notes_stuart,date_meas_lauren,num_myco_lauren,num_nonmyco_lauren,morpho_descrip_lauren,notes_lauren
FOR_1_1,11/12/2020,46,102,Thelephora,,12/7/2020,78,68,"ceno, brown different textured ones",
FOR_1_2,11/12/2020,7,146,"1 Cenococcum, rest Thelephora",,,,,,
FOR_1_C,11/12/2020,0,97,NA,,,,,,
MEA_1_1,11/12/2020,71,36,Thelephora,Covered with Thelephora,,,,,
MEA_1_2,11/12/2020,51,50,Thelephora,,,,,,
MEA_1_C,11/12/2020,0,82,NA,,,,,,
MNT_1_1,11/20/2020,37,23,Thelephora,,,,,,
MNT_1_2,11/20/2020,100,15,Thelephora,,,,,,
MNT_1_C,11/20/2020,0,37,NA,,,,,,
FOR_4_2,11/20/2020,12,11,Cenococcum,,,,,,
FOR_4_3,11/20/2020,18,56,Cenococcum,,,,,,
FOR_4_C,11/20/2020,6,109,"Snowmen, Thelephora",,,,,,
MEA_4_1,11/20/2020,117,14,"Thelephora, Cenococcum",,,,,,
MEA_4_2,11/20/2020,145,27,"Thelephora, Cenococcum",,,,,,
MEA_4_C,11/20/2020,0,63,NA,,,,,,
MNT_4_1,11/20/2020,242,5,Thelephora,,,,,,
MNT_4_2,11/12/2020,94,9,Thelephora,Absolutely covered with Thelephora,11/2/2020,13,97,fatter root tips that looked slightly more brown in color,
MNT_4_C,11/12/2020,3,91,Snowmen,,11/2/2020,5,78,snowmen heads,
FOR_8_3,11/26/2020,0,98,NA,,,,,,
FOR_8_4,11/26/2020,6,93,Thelephora,,,,,,
FOR_8_C,11/26/2020,0,55,NA,,,,,,
MEA_8_1,11/26/2020,22,26,Thelephora,,,,,,
MEA_8_2,11/26/2020,26,16,Thelephora,,,,,,
MEA_8_C,11/26/2020,23,166,Thelephora,,,,,,
MNT_8_1,11/26/2020,18,171,Thelephora,,,,,,
MNT_8_2,11/26/2020,53,193,Thelephora,,,,,,
MNT_8_C,11/26/2020,21,47,Thelephora,,,,,,
FOR_9_1,11/26/2020,0,19,NA,,,,,,
FOR_9_2,11/26/2020,0,67,NA,,,,,,
FOR_9_C,11/26/2020,0,136,NA,,,,,,
MEA_9_1,11/26/2020,13,48,Thelephora,,,,,,
MEA_9_2,11/26/2020,18,62,Thelephora,,,,,,
MEA_9_C,11/26/2020,3,24,Thelephora,,,,,,
MNT_9_1,11/26/2020,37,106,Thelephora,,,,,,
MNT_9_2,11/26/2020,32,46,Thelephora,"Root tips very bulbous at the end, would be good to sequence this one",,,,,
MNT_9_C,11/26/2020,1,120,Thelephora,,,,,,
FOR_13_1,11/26/2020,59,64,Cenococcum,,,,,,
FOR_13_2,11/26/2020,168,67,Cenococcum,,,,,,
FOR_13_C,11/26/2020,0,55,NA,,,,,,
MEA_13_1,11/26/2020,1,64,Thelephora,,,,,,
MEA_13_2,11/26/2020,0,164,NA,,,,,,
MEA_13_C,11/26/2020,0,54,NA,,,,,,
MNT_13_1,11/26/1930,0,72,NA,,,,,,
MNT_13_2,11/12/2020,14,161,"Snowmen, Thelephora",,11/9/2020,3,174,bulbous white root tips,
MNT_13_C,11/12/2020,0,72,NA,,,,,,
FOR_16_1,11/22/2020,148,83,"Thelephora, Cenococcum",Only one Cenococcum,,,,,
FOR_16_2,11/22/2020,46,112,"Thelephora, Cenococcum",,,,,,
FOR_16_C,11/22/2020,0,26,NA,,,,,,
MEA_16_1,11/22/2020,1,26,Thelephora,,,,,,
MEA_16_2,11/22/2020,39,18,Thelephora,,,,,,
MEA_16_C,11/22/2020,12,95,Thelephora,,,,,,
MNT_16_1,11/22/2020,9,92,Thelephora,,,,,,
MNT_16_2,11/22/2020,38,23,Thelephora,,,,,,
MNT_16_C,11/22/2020,10,63,Thelephora,,,,,,
FOR_20_1,11/12/2020,80,116,"Cenococcum, Thelephora","Multiple Cenococcum, good example of Thelephora next to uncolonized tips",11/23/2020,114,81,"ceno, subtle brown roots",
FOR_20_2,11/12/2020,10,18,"Cenococcum, snowmen",,10/30/2020,13,20,"black one, snowman head, browg log",
FOR_20_C,11/12/2020,0,30,NA,,10/30/2020,0,26,none,N/A
MEA_20_1,11/22/2020,22,192,Cenococcum,,,,,,
MEA_20_2,11/17/2020,58,58,"Thelephora, Cenococcum",,,,,,
MEA_20_C,11/17/2020,1,64,Thelephora,,,,,,
MNT_20_1,11/22/2020,23,84,Thelephora,,,,,,
MNT_20_2,11/22/2020,68,87,Thelephora,,,,,,
MNT_20_C,11/22/2020,7,91,Dark brown and striated,Might be interesting to sequence these if they were sampled,,,,,
FOR_23_1,11/12/2020,12,48,"Cenococcum, Thelephora",,11/30/2020,72,76,"ceno, brown similar ones",
FOR_23_2,11/12/2020,11,48,Cenococcum,,,,,,
FOR_23_C,11/12/2020,4,60,Thelephora,,,,,,
MEA_23_1,11/12/2020,4,21,Thelephora,,,,,,
MEA_23_3,11/12/2020,8,59,"Cenococcum, Thelephora","1 Cenococcum, rest Thelephora",,,,,
MEA_23_C,11/12/2020,0,27,NA,Very few tips relative to volume of roots,,,,,
MNT_23_1,11/12/2020,4,97,Snowmen,,,,,,
MNT_23_2,11/12/2020,0,50,NA,,,,,,
MNT_23_C,11/12/2020,20,130,Snowmen,,,,,,
FOR_26_1,11/17/2020,128,37,"Thelephora, Cenococcum",,,,,,
FOR_26_2,11/17/2020,45,83,"Thelephora, Cenococcum",,,,,,
FOR_26_C,11/17/2020,0,4,NA,Roots look like they were dead before harvesting,,,,,
MEA_26_1,11/22/2020,8,26,"Thelephora, Cenococcum",Only one Cenococcum,,,,,
MEA_26_2,11/22/2020,56,39,"Cenococcum, Thelephora",,,,,,
MEA_26_C,11/22/2020,1,135,Thelephora,,,,,,
MNT_26_1,11/22/2020,50,59,Thelephora,,,,,,
MNT_26_2,11/22/2020,41,110,"Thelephora, Cenococcum",Only one Cenococcum,,,,,
MNT_26_C,11/22/2020,0,23,NA,,,,,,
